period_id,canonical_month,period_label,units_sold_thousands,revenue_usd_thousands,active_vendor_locations,top_product,notes
ICECREAM-JAN-2023,2023-01,Jan 2023,11.8,94,48,Classic Vanilla,"Mostly indoor mall kiosks; street carts closed"
ICECREAM-FEB-2023,2023-02,Feb 2023,13.6,109,52,Chocolate Fudge,"Valentine promotions drove slight uptick"
ICECREAM-MAR-2023,2023-03,Mar 2023,22.1,177,89,Strawberry Swirl,"Street carts beginning seasonal reopening"
ICECREAM-APR-2023,2023-04,Apr 2023,38.4,307,162,Mango Sorbet,"Vendor permits renewed; parks opening"
ICECREAM-MAY-2023,2023-05,May 2023,67.9,543,284,Soft Serve Twist,"Memorial Day weekend spike; beach season begins"
ICECREAM-JUN-2023,2023-06,Jun 2023,111.7,894,421,Chocolate Chip Cookie Dough,"Consistent high demand; school out"
ICECREAM-JUL-2023,2023-07,Jul 2023,148.2,1186,512,Mango Sorbet,"Peak summer; heat wave boosted sales"
ICECREAM-AUG-2023,2023-08,Aug 2023,142.5,1140,498,Soft Serve Twist,"Near-peak; back-to-school slight dip end of month"
ICECREAM-SEP-2023,2023-09,Sep 2023,98.3,786,367,Chocolate Chip Cookie Dough,"Still warm; post-Labor Day tapering"
ICECREAM-OCT-2023,2023-10,Oct 2023,51.6,413,198,Pumpkin Spice Swirl,"Seasonal transition; vendor numbers dropping"
ICECREAM-NOV-2023,2023-11,Nov 2023,27.4,219,94,Classic Vanilla,"Most street carts closed for season"
ICECREAM-DEC-2023,2023-12,Dec 2023,15.9,127,56,Hot Cocoa Float,"Holiday specials only; mainly indoor venues"
